2015,3.85,2.22,1.21,,,,,,,,,,7.44
2014,0.59,0.7,1.02,0.9,0.9,0.62,0.49,0.24,0.65,0.82,1.28,2.62,11.36
2013,0.97,0.56,0.34,0.51,0.66,0.42,0.82,0.14,0.21,0.57,0.56,0.51,6.45
2012,0.5,0.37,0.58,0.31,0.52,0.89,1.23,0.1,0.55,0.46,0.34,0.54,6.58
2011,2.37,0.78,0.62,0.43,0.48,0.23,-0.01,-0.24,-0.04,0.48,0.42,0.44,6.1
2010,1.64,0.86,0.63,0.29,0.5,0.39,0.36,0.55,0.84,0.5,0.81,1.08,8.78
2009,2.37,1.65,1.31,0.69,0.57,0.6,0.63,0,-0.03,0,0.29,0.41,8.8
2008,2.31,1.2,1.2,1.42,1.35,0.97,0.51,0.36,0.8,0.91,0.83,0.69,13.28
2007,1.68,1.11,0.59,0.57,0.63,0.95,0.87,0.09,0.79,1.64,1.23,1.13,11.87
2006,2.43,1.66,0.82,0.35,0.48,0.28,0.67,0.19,0.09,0.28,0.63,0.79,9
2005,2.62,1.23,1.34,1.12,0.8,0.64,0.46,-0.14,0.25,0.55,0.74,0.82,10.91
2004,1.75,0.99,0.75,0.99,0.74,0.78,0.92,0.42,0.43,1.14,1.11,1.14,11.74
2003,2.4,1.63,1.05,1.02,0.8,0.8,0.71,-0.41,0.34,1,0.96,1.1,11.99
2002,3.09,1.16,1.08,1.16,1.69,0.53,0.72,0.09,0.4,1.07,1.61,1.54,15.06
2001,2.8,2.3,1.9,1.8,1.8,1.6,0.5,0,0.6,1.1,1.4,1.6,18.82